image_id,category,subject,model,field,ground_truth,model_answer,verdict,notes
abduction-amphitrite,mythology,Abduction of Amphitrite by Poseidon,gemini:gemini-2.5-pro,title,Abduction of Amphitrite by Poseidon,Perseus and Andromeda,correct,
abduction-amphitrite,mythology,Abduction of Amphitrite by Poseidon,gemini:gemini-2.5-pro,artist,"Terwesten, Mattheus",Giorgio Vasari,correct,
abduction-amphitrite,mythology,Abduction of Amphitrite by Poseidon,gemini:gemini-2.5-pro,date,1685 - 1757,c. 1570-1572,correct,
abduction-amphitrite,mythology,Abduction of Amphitrite by Poseidon,gemini:gemini-2.5-pro,collection,,"Palazzo Vecchio, Florence",correct,
abduction-amphitrite,mythology,Abduction of Amphitrite by Poseidon,gemini:gemini-3.5-flash,title,Abduction of Amphitrite by Poseidon,The Triumph of Amphitrite,correct,
abduction-amphitrite,mythology,Abduction of Amphitrite by Poseidon,gemini:gemini-3.5-flash,artist,"Terwesten, Mattheus",Hendrick de Clerck,correct,
abduction-amphitrite,mythology,Abduction of Amphitrite by Poseidon,gemini:gemini-3.5-flash,date,1685 - 1757,c. 1610,correct,
abduction-amphitrite,mythology,Abduction of Amphitrite by Poseidon,gemini:gemini-3.5-flash,collection,,Museo del Prado,correct,
abduction-helen,mythology,The Abduction of Helen,gemini:gemini-2.5-pro,title,The Abduction of Helen.,The Rape of Helen,correct,
abduction-helen,mythology,The Abduction of Helen,gemini:gemini-2.5-pro,artist,"Campana, Giacinto",Tintoretto (Jacopo Robusti),correct,
abduction-helen,mythology,The Abduction of Helen,gemini:gemini-2.5-pro,date,1600-1650,c. 1578-1579,correct,
abduction-helen,mythology,The Abduction of Helen,gemini:gemini-2.5-pro,collection,,Museo Nacional del Prado,correct,
abduction-helen,mythology,The Abduction of Helen,gemini:gemini-3.5-flash,title,The Abduction of Helen.,The Abduction of Helen,correct,
abduction-helen,mythology,The Abduction of Helen,gemini:gemini-3.5-flash,artist,"Campana, Giacinto",Guido Reni,correct,
abduction-helen,mythology,The Abduction of Helen,gemini:gemini-3.5-flash,date,1600-1650,1631,correct,
abduction-helen,mythology,The Abduction of Helen,gemini:gemini-3.5-flash,collection,,Louvre Museum,correct,
aeneas-anchises-troy,mythology,Aeneas rescues his father Anchises from the burning Troy,gemini:gemini-2.5-pro,title,Aeneas rescues his father Anchises from the burning Troy,The Fall of Troy,correct,
aeneas-anchises-troy,mythology,Aeneas rescues his father Anchises from the burning Troy,gemini:gemini-2.5-pro,artist,"Suavius, Lambert",El Greco (Doménikos Theotokópoulos),correct,
aeneas-anchises-troy,mythology,Aeneas rescues his father Anchises from the burning Troy,gemini:gemini-2.5-pro,date,1550,c. 1596-1600,correct,
aeneas-anchises-troy,mythology,Aeneas rescues his father Anchises from the burning Troy,gemini:gemini-2.5-pro,collection,Centraal Museum,National Gallery of Greece,correct,
aeneas-anchises-troy,mythology,Aeneas rescues his father Anchises from the burning Troy,gemini:gemini-3.5-flash,title,Aeneas rescues his father Anchises from the burning Troy,The Burning of Troy,correct,
aeneas-anchises-troy,mythology,Aeneas rescues his father Anchises from the burning Troy,gemini:gemini-3.5-flash,artist,"Suavius, Lambert",Gillis van Valckenborch,correct,
aeneas-anchises-troy,mythology,Aeneas rescues his father Anchises from the burning Troy,gemini:gemini-3.5-flash,date,1550,c. 1600,correct,
aeneas-anchises-troy,mythology,Aeneas rescues his father Anchises from the burning Troy,gemini:gemini-3.5-flash,collection,Centraal Museum,,correct,
apollo-muses,mythology,Apollo and the Muses,gemini:gemini-2.5-pro,title,Apollo and the Muses.,An Allegory of Truth and Time,correct,
apollo-muses,mythology,Apollo and the Muses,gemini:gemini-2.5-pro,artist,Tintoretto,Annibale Carracci,correct,
apollo-muses,mythology,Apollo and the Muses,gemini:gemini-2.5-pro,date,1532-1594,c. 1600-1601,correct,
apollo-muses,mythology,Apollo and the Muses,gemini:gemini-2.5-pro,collection,,Royal Collection Trust,correct,
apollo-muses,mythology,Apollo and the Muses,gemini:gemini-3.5-flash,title,Apollo and the Muses.,The Muses on Mount Helicon,correct,
